"reference","Nex","Ni2","Ni3","Ni4","closure","Ndis","spatial_freq"
"./stimuli/cost-10/1610556032.15OYCzUxpsz7b10AXBAuDXrvEcvxFhf0M7.png",2,1,0,0,0,1,0.354625367181499
"./stimuli/cost-10/1610555760.24e6890pkbyZ97Or6croI1rQgjkSsR0yVt.png",2,2,0,0,0,1,-1.29228000067666
"./stimuli/cost-10/1610555736.28eGuESasTXdR3SqY6pHhEXWZtcdciYLCO.png",0,0,0,3,1,1,1.23343762113312
"./stimuli/cost-11/1610556034.63XsUwaFaPZevO1JNFjfhvY4aKNFnV4noV.png",4,0,0,0,0,2,0.233776250905771
"./stimuli/cost-11/1610556966.74DydzH91jtyvRyYau47JpVkZoMRSNTt01.png",1,0,1,0,1,1,0.619314269870338
"./stimuli/cost-11/1610555740.77UueVziDbaXyRR4OcVJIIZyzOfAzN51bj.png",2,0,0,3,1,1,1.04924170437119
"./stimuli/cost-11/1610556944.745UVLFBzf7fPh4UH37I6tYQOFPqRDytEh.png",2,1,0,1,1,1,0.578028983804149
"./stimuli/cost-11/1610556944.5XwXOphKYT3ZkWA8gViqOS97VHVuMVUqb.png",2,0,0,0,0,1,0.33406349269098
"./stimuli/cost-11/1610556964.89xwBHw9faT1HjQRMNQEyA4qJ3hWkwgj3k.png",2,0,0,0,0,1,0.26819781739352
"./stimuli/cost-11/1610556034.61bebeZA0MkaFG2sm3VKiqrxeqQginTTW0.png",4,0,0,0,0,2,0.0365894435572647
"./stimuli/cost-12/1610555740.73XFwSrmTXJPlaxGZSefh0jOVA8PI3III1.png",0,0,1,5,1,1,1.12165179808765
"./stimuli/cost-12/1610556123.89H4pdIAzDthI7bMXMhlIhKUYIQIvtmPPQ.png",2,2,0,1,1,1,-0.779009166971627
"./stimuli/cost-12/1610556046.85nB7NvyoYQeLcOV391Lmmut1wAM8CFGLw.png",0,0,0,9,1,1,1.36673983156548
"./stimuli/cost-12/1610556123.88AOfNaz9jSnqU5Czc7okOv1RCrYfKFBTo.png",2,2,0,0,0,1,-1.15826883703924
"./stimuli/cost-12/1610556046.84e3vwjyRCzqz0wJQhrk8zsxlFfFSv98Df.png",0,0,0,8,1,1,0.761576418427806
"./stimuli/cost-12/1610556137.99eoPuVrDThKAOvmeprLPb2FWRqIhzUodc.png",2,4,0,0,0,1,-1.02914051867834
"./stimuli/cost-12/1610555740.87GOYQUJKpkynIS2lFqppYK4b32ol7NeGh.png",1,0,0,2,1,1,0.979531427613344
